Text,Actual Label,Predicted Label,Probability Distribution
intellihub stunning turn events fbi apparently investigating multiple alternative news outlets supposed russian connections according to160deep state operatives gave information mcclatchy news obvious attempt undermine growing power antiestablishment media report160completely sourced globalist operatives claims federal investigators examining see making thin air whether farright news sites played role russian cyber operation the160intelligence community claim widened reach news stories favored donald trump according anonymous sources mcclatchy report operatives russia strategically timed computer commands bots flood social media links protrump stories including appeared sites like infowars breitbart bots end products largely millions twitter facebook posts carrying links stories conservative internet sites breitbart news infowars well kremlinbacked rt news sputnik news sources said stories false mixed fact fiction said sources spoke condition anonymity bot attacks part fbiled investigation multifaceted russian operation influence last years elections reads mcclatchy disinformation piece reading piece becomes clear news outlets actually targeted russian connections literally none critical failed presidential candidate hillary clinton throughout election somehow framed work russian operatives reality patriotic americans fed open corruption entire clinton family mcclatchy report continued top priority investigators determine delivered hacked emails wikileaks londonbased transparency site published online sources said news stories emails embarrassed clinton key points campaign wikileaks founder julian assange denied russian government source email dump bots carried links news stories also democratic emails posted wikileaks especially hacked podesta made public october said philip howard professor oxford university internet institute researched bot attacks legitimate independent news outlets russian agents wrote hacked emails published wikileaks new redscare america literally critical hillary clinton without accused russian operative amazingly mcclatchy piece even quotes clinton operative john podesta disgraced democratic operative160donna brazile somehow gives article credibility reality shows attack meant help literally quoting people exposed160by wikileaks release first place keep mind thanks recent vault 7 wikileaks release already know intelligence community ability carry hack attacks pin blame foreign nations including russian federation wrote time release among startling revelations coming wikileaks vault 7 release shocking fact cia ability misdirect attribution hack effectively making look country russian culprit reality forces within central intelligence agency sudden american people supposed believe russian bot attacks used spread alternative news reports already know fact outlets infowars absolutely connection russia make mistake scaring possibly censoring news outlets spread establishment narrative yet another attack free press wake donald trumps stunning election victory news outlets mcclatchy openly dirty work deep state another key element attack fact know fbi director james comey absolutely 100 globalist operative working directly president but160also using power position target news outlets board 247 antitrump attacks seen throughout mainstream media unfortunately one ever said deep state operatives working trump stupid put comey position basically whatever wants without fired due fact investigating fake ties trump russia firing would seen act coverup allegations trump may able fire moment american people surely make voices heard demand comey stop using fbi resources political witchhunt targets foes establishment truly stay quiet attack could beginning end real free press america also important note infowars breitbart outlets named highly likely fbi targeting numerous outlets including number websites originally listed russian agents failed propornot list published washington post includes intellihub alex,4,1,[0.01662304 0.9583259  0.00592654 0.00189177 0.01723272]
dow could close higher 11th straight session longest streak since february us stocks pivoted session highs tuesday putting dow sampp 500 track log another round alltime highs financials energy technology stocks led day continue reading dow jones industrial average rose 51 points 02 22170 sampp 500 index added 9 points 03 2489 financials sector 08 topped sampp 500s 11 sectors 05 gain energy stocks 05 climb tech names also contributing small rise nasdaq composite index added 34 points 05 6418 days gains dow track 11th straight daily rise well 10th straight record close longest streaks since february sampp 500 nasdaq track third straight daily rises relateddows 35 alltimehigh closes 2017 put halfway toward record number records httpwwwmarketwatchcomstorythedowishalfwaytowardhavingarecordnumberofrecords20170808 backdrop great earnings good dollar weak rates inflation low continues continue slog higher said james meyer chief investment officer tower bridge advisors recent market action modest upside bias moves muted one metric quietest market since 1965 httpwwwmarketwatchcomstorystockmarkethasntbeenthisquietsincelyndonbjohnsonwaspresident20170712 sampp 500 hasnt session moved 05 either direction since july 19 abnormally long time cboe volatility index recently traded near alltime lows advertisement financials days biggest gainers 08 among topperforming stocks industry fifth third bancorpfitb rose 29 capital one financialcof 24 jp morgan chase amp co jpm 11 investors become increasingly bullish group wells fargo monday reiterated one four sectorsalong consumer discretionary health care techthat currently appear poised biggest outperformance separately oppenheimer noted group topperforming sector falling interest rates since may 10year us treasury yield peaked 24 adding view positive reactions bearish information sign bad news discounted underlying asset primed rally goldman sachs listed five reasons portfolio managers ignoring micro story financials suggesting even though topperforming sector past 12 monthsup 30they still room grow five reasons include trading relative valuation discount deregulation tailwinds werent priced shares increases buybacks dividends investment bank said would rise three times pace overall sampp 500 individual movers shares avis budget group inccar fell 76 car rental company late monday posted quarterly results missed wall streets expectations httpwwwmarketwatchcomstoryavissharesdown10aftercompanymissesepssalesforecasts20170807 marriott international incmar shed 21 hotelier posted quarterly earnings beat guided profit current quarter httpwwwmarketwatchcomstorymarriottearningsbeatbutstockfalls220170807 slightly analysts forecasts cbs corpcbsa rose 26 media giant also reported results late monday httpwwwmarketwatchcomstorycbsearningsboostedbytwinpeaksfinalfour20170807 revenue topping expectations drugstore operator cvscvs posted earnings revenue beat estimates httpwwwmarketwatchcomstorycvshealthsharesriseafterearningsandrevenuebeatestimates20170808 shares fell 19 michael kors holdings ltdkors soared 20 profit clothing accessories companys beat views httpwwwmarketwatchcomstorymichaelkorssharesspikeafterearningsbeat20170808 ralph lauren corprl jumped 10 results dont know companies bright futures results werent dismal many people thought meyer said expectations get low enough beat drugmaker valeant pharmaceuticals international incvrxt gained 85 quarterly revenue topped forecasts httpwwwmarketwatchcomstoryvaleantreportsq2losscuts2017revenueguidance20170808 dairy giant dean foods co df plummeted 18 lower earnings disappointed httpwwwmarketwatchcomstorydeanfoodsceonotsatisfiedwithq2earningsthatwerewellbelowexpectations20170808 theme park operator seaworld entertainment incs seasrevenue missed views httpwwwmarketwatchcomstoryseaworldswingstolossandrevenuemissesexpectations20170808 shares seaworld lost 81 economic news sentiment among smallbusiness owners jumped july httpwwwmarketwatchcomstorysmallbusinesssentimentrisesinjulyafterfivemonthrutnfib20170808 national federation independent business said early tuesday meanwhile labor department reported tuesday number job openings june vaulted 616 million httpswwwblsgovnewsreleasejoltsnr0htmfrom 57 million may check outmarketwatchs economic calendar httpwwwmarketwatchcomeconomypoliticscalendarseconomic marketsoil futures httpwwwmarketwatchcomstoryoilpricestuglowerondoubtsopecmeetingwilldeliver20170808 traded 01 higher gold httpwwwmarketwatchcomstorygoldpricesscorealiftasdollarsoftens20170808slipped 04 key dollar index 04 higher european equities httpwwwmarketwatchcomstoryeuropeanstocksedgelowerondownbeatgermanchineseexportdata20170808 tilted tuesday disappointing trade data germany china pulled key sectors asian markets,3,1,[0.00869406 0.78842777 0.01806522 0.08771358 0.09709933]
biotech sector isnt faint heart investors strike rich opens new window get lucky also lose bundle opens new window things dont go according plan given risk take lot courage put money work sector biotech stocks think smart picks investors willing accept some160risk asked question team healthcare investors picked160edge therapeutics nasdaq edge160aratana therapeutics nasdaq petx160and alkermes160nasdaq alks continue reading george budwell opens new window160edge therapeutics enterprising investors hunt sizable returns may want check clinicalstage biotech edge therapeutics edge developing latestage product dubbed eg1962 aimed improving delivery nimodipine160in patients with160aneurysmal subarachnoid hemorrhage asah resulting ruptured brain aneurysm short version story orally administered160nimodipine asah patients known induce motley crew serious side effects places heavy burden nurses maintain patient oral regimen span several weeks edge hoping solve problems proprietary programmable biodegradable polymerbased development platform known precisa effect novel polymerbased delivery method allows far targeted sustained release of160nimodipine substantially reduce side effects cost care increase drugs effectiveness point eg1962 could eventually become new standard care deadly brain injury looking ahead edge expected release topline data from160eg1962s ongoing pivotalstage trial late 2018 company perhaps two years away transforming commercialstage operation advertisement eg1962 able generate considerable revenue approved downside edges value proposition relies heavily drugs clinical fate company lacks welldiversified pipeline beyond eg1962 put simply highrisk highreward biotech stock arguably suited ultraaggressive investors willing sacrifice safety chance generate unusually high returns capital sean williams opens new window aratana therapeutics investors initiative looking nab intriguing growth stock biotech industry would wise take peek aratana therapeutics develops medicines companion animals cats dogs allure company like aratana seen pet ownership statistics opens new window according american pet products association appa amount americans spent annually pets quintupled 17 billion 1994 estimated 694 billion 2017 694 billion estimated well spend 166 billion veterinary care another 149 billion overthecounter medicines supplies year also worth noting despite two recessions past 20 years pet sales grown every year per appa 2012 harris interactive poll also showing 91 pet households consider fourlegged friend part family makes sense assume theyll spend whatever necessary ensure health happiness pets thats aratana comes drug developer specifically focused companion pets access 68 households pets along excellent pricing power according wall streets projections sales company expected grow blistering pace 23 million 2017 129 million 2020 recurring profitability also expected occur late 2019 early 2020 aratana currently small number approved drugs perhaps notable galliprant firstinclass treatment canine osteoarthritis drug landed aratana licensing partnership elanco animalhealth division eli lilly nyse lly providing aratana 45 million upfront cash potential earn 83 million future milestone revenue addition netsale royalties aratanas pipeline consists halfdozen ongoing studies dogs cats include feline herpes virus at006 management weight loss cats chronic kidney disease at002 chronic kidney disease common cause death felines at002 could show promise improving quality life add pet ownership statistics pricing power organic sales growth pipeline together successful company tons pawtential brian feroldi opens new window alkermes160alkermes isnt typical biopharmaceutical company thats good thing rather focus developing products company got its160start helping pharmaceutical companies extend life hit drugs one alkermes tricks reformulate drugs extended release exchange services alkermes got cut,3,1,[0.21211137 0.5313468  0.01783938 0.07094996 0.16775246]
royal saudi land forces show one bigger guns image source tech sgt h deffner defense visual information center opens new window continue reading 2010 saudi arabiasigned single biggest foreign arms contract us history opens new window deals exact size flux keeps expanding accommodate new weapons saudis want add shopping list alls said done arms deal could range anywhere 30 billion 90 billion size sounds like lot money one single desert kingdom able afford spend weapons consider saudi arabia currently fourthlargest weapons buyer world 808 billion invested defense 2014 saudi arabia outspent russia china united states saudi arabia one country oilrich constantly warring middle east redhot market deserthere us defense spending plummeted 19 opens new window 2010 2015 saudi arabia data stockholm international peace research institute sipri opens new window show 78 increase defense spending 2010 2014 recent year record saudi arabia wasnt alone across length breadth middle east sipri data shows similar spending surges among saudi arabias neighbors tiny bahrain example grew defense spending 70 2010 2014 omans arms purchases 96 iraqi spending military nearly tripled size 266 clearly youre defense business business want selling weapons middle east advertisement whos middle eastits good six months since last checked opens new window americas various big defense contractors capitalizing crucial export market high time take another look see pole positions changed luckily major players filed fullyear fiscal 2015 financial statements giving us good data winners losers heres stack based latest data sampp global market intelligence opens new window data sources sampp global market intelligence opens new window sec filings opens new window increase percentage revenue derived respective market versus six months ago saudi arabia nd data bp basis points numbers meanthere couple broad conclusions draw data notable fact relative positions changed six months ago raytheon nyse rtn led pack getting largest share revenues middle east arms sales remains true today back general dynamics nyse gd l3 communications nyse lll also emphasizing market still changed three companies presumably lockheed martin northrop grumman well although cant tell sure break sales region way growing mideast businesses three cases granular data mideast arms sales businesses expanded expansion rapid significant size three companies moved needle appreciably six months time three companies incidentally also appear growing international businesses general middle east theyre moving faster take advantage international opportunities rivals lockheed martin northrop grumman upshot investors youre looking companies capable dodging downturn us defense spending nimble enough take advantage opportunities grow businesses abroad three good stocks watch opens new window defense spending bigtime highs 2010 clearly image source us pentagon opens new window article defense stocks dominate allimportant middle east market opens new window originally appeared foolcom rich smith opens new windowowns shares raytheon find motley fool caps opens new window publicly pontificating handle tmfditty opens new window hes currently ranked 270 75000 rated membersthe motley fool position stocks mentioned try foolish newsletter services free 30 days opens new window fools may hold opinions believe considering diverse range insights opens new window makes us better investors motley fool disclosure policy opens new window copyright 1995 2016 motley fool llc rights reserved,2,1,[0.00418911 0.9539547  0.01773102 0.00420865 0.01991648]
nine years ago christopher mirasolo 27 raped woman got pregnant result alleged crime mirasoloa convicted rapisthas been160 awarded joint legal custody child160by detroit judge gregory ross following dna paternity test showed childs father yes read correctly man made child rape convicted rape served time rape granted joint custody child born rape victims attorney rebecca kiessling asking special protection afforded client federal160 rape survivor child custody act act president obama signed rape survivor child custody act law may 29 2015 terminates parental rights parent raped opposite sex decision terminate parental rights must based clear convincing evidence resulting child conceived rape kiessling filed objections last friday ross decision award custody parent whos believed raped lady whose identity must kept confidential nature crime kiessling remarked insanenothing right since originally investigated never properly charged still sitting behind bars somewhere system victimizing client child happened apparently angered ross decision rape victims attorney continued accusing court implementing deception make ruling assistant prosecutor eric scott told granted consent lie never asked certainly never signed anything granting parental rights mirasolo ross prevented woman fleeing presence alleged attacker words rape victim within driving distance rapist times bizarre would say ironic turn events160the rape victim may fact go jail comply courts demands kiessling remarked client is160not allowed move 100 miles living case filed without court consent comply order locked prosecutor told come home immediately would held contempt court rape victims lawyer said anyone may wondering details alleged rape lawyer provided glimpse kind horrific violent torture rape victim allegedly endured said mirasolo raped client client 12 man 18 described incident detail 13yearold sister friend slipped house one night meet boy boys older friend mirasolo showed asked wanted go ridethey thought going mcdonalds somewhereinstead tossed cellphones away drove detroit stole gas station drove back sanilac county kept captive two days vacant house near relative finally releasing older sister park threatened kill told anyone happened instead prosecuting mirasolo fullest extent law offered plea deal firsttime offender back streets less 7 months jail went commit another rape young teenager 2010 served four years second rape judge ross given parental rights first victim barbara yockey mirasolos attorney indicate client intention parent child happens product reportedly brutal rape yockey said paternity test subsequent custody proceedings initiated parent applied state services chris notified paternity matter order filiation issued last month court saying joint legal custody reasonable visitation privilegeshe never initiated something routinely done prosecutors office party makes application state assistance detroit news also spoke mother unaware courts proceedings said think crazythey officials never explained anything receiving 260 month food stamps son health insurance guess trying see get money back following horrific rape victim dropped school moved relatives florida went government office change address notified court order demanding return detroit part didnt want come back home160because scaredi wouldve got contempt court hadnt shown wouldve thrown jail respect rape said didnt talk tried put behind thats never possible never forget happens tiffany name gave hosts real name gave opinion ross decision put rapists name sons birth certificate id told hed fight kind rightsthen judge hands rights like deserves shes alone belief,3,4,[0.00818845 0.06761348 0.01313957 0.00849721 0.9025613 ]
real estate investment trusts reits great year 2016 may companyspecific reasons individual reits performance part decline nothing businesses instead decline due forecast higher interest rates created nice opportunities scoop highdividend reits discount two personal favorites watch list head 2017 continue reading image source getty images iron mountain nyse irm 66 dividend yield business information storage management includes storage records data facilities well documentshredding service makes onetenth companys revenue one favorite things iron mountain incredibly diverse stable tenant base company 220000 customers including 94 fortune 1000 companys operations 45 countries six continents around world advertisement furthermore iron mountains storage facilities account bulk revenue extremely lowmaintenance type property space generate revenue per square foot selfstorage industrial real estate ongoing expenses much less put perspective ive written lowcost selfstorage business average selfstorage operator pays 5 net operating income maintenance expenditures iron mountain pays 2 fact iron mountains storage facility net operating margin 81 beats selfstorage average 68 handily addition selfstorage tenants monthtomonth leases iron mountains leases terms years three average large tenants average item storage 15 years far risk factors go company derives nearly 40 revenue services storage revenue stream could vulnerable tough economic times company slightly higher leverage ratio debt id like see however iron mountain seems agree set motion plans decrease leverage significantly 2020 ive written many times healthcare reits excellent longterm investments several welltower nyse hcnwith 5 yield still handsdown favorite group largest player space geographical diversification reasons love company first heres love healthcare real estate general starters defensive asset class fine recessions healthcare one thing people need matter economy performing furthermore us population aging rapidly 65 age group expected roughly double 2050 older age groups growing even faster older people use healthcare spend either pocket insurance rest population average person 6584 group spends double national average 85andup group spend nearly five times average american image source welltower additionally healthcare real estate market highly fragmented early stages reit consolidation reit higher market share welltower 3 industry less 15 healthcare properties owned reits property types malls hotels figure closer 50 nutshell growing market theres lots existing opportunity well like welltower particular focus stable privatepay opposed government reimbursement assets fact company recently announced significant portfolio repositioning opens new window increase concentration privatepay assets 92 set portfolio take advantage higherspending aging population greater concentration senior housing like iron mountain welltower isnt without risk recently wrote article welltowers risk factors read opens new window perfectly clear im saying would buy stocks right longterm investments dont minimum five years hold stocks youre probably better looking elsewhere alluded introduction reits vulnerable forces beyond control specifically interest rates thought interest rates start rising big reason sectors decline second half 2016 two stocks poor performance fact stocks underperformed sampp 500 significantly past six months welltower 16 iron mountain 23 hcn data ycharts opens new window interest rates bad reit prices rates rise investors expect higher yields riskier investments compared things like treasury bonds reits creates selling pressure share prices entirely possible two could go next years presidentelect trump successful creating type economic growth claims rates spike faster market anticipates thats,4,1,[0.00938193 0.5383218  0.00524139 0.00339146 0.44366336]
thursday night black lives matter protest law enforcement held dallas texas five police officers murdered least seven officers two civilians shot situation fluid new information still learned regard motive details surrounding massacre thus far heres know 1 white cops targeted one suspect sympathized black lives matter total 12 police officers shot tragically leaving five dead according vox four officers dallas police department officer dallas area rapid transit dart one suspect eventually killed police negotiations broke told police officers angry two recent police shootings wanted kill cops especially white cops according dallas police chief david brown suspect also sympathized black lives matter felt upset suspect said upset black lives matter said upset recent police shootings suspect said upset white people suspect stated wanted kill white people especially white officers brown told reporters also reported least one suspect yelled cops die end law enforcement massacre 2 black power group claimed responsibility deadly attack vowing assassinate police officers james barrett daily wire reportedon friday morning black power political organization claimed credit slaughter innocent cops posting following message facebook following shooting blackpower blackknights sniper assassins take five police officers assassinated coming days like work assassins get sniper rifle join thousands sniper assassins worldwide fight oppression noted barrett post since removed according mirror group also posted message days police massacre dont worry people justice served alton sterling contacted police chief carl dabadie jr already know happen wide carla settoon dabadie two sons dont want continue support us black knights sniper assassin group 3 four reported suspects total according whotv authorities say three people custody one suspect dead 4 coordinated attack shooters sniping police officers reported washington post dallas police chief david brownbelieves four suspects worked together rifles triangulated elevated positions difference places downtown area attack police officers suspect el centro garage said bombs place garage downtown according brown fbi atv scene canvassing explosives 5 suspicious package found law enforcement officers suspicious package found examined dallas police bomb squad notes washington post careful tactics dont injure put citizens harms way said chief brown 6 suspects committed suicide reportedthat one suspect committed suicide carrying attack inaccurate according dallas police chief david brown suspect taken police officers commit suicide saw option use bomb robot place device extension detonate suspect options would exposed officers grave danger suspect deceased result detonating bomb said brown 7 dallas issued lockdown friday morning threat completely neutralized city dallas issued lockdown friday morning police chief brown said say certain threat completely neutralized breaking downtown dallas lockdown per brown people affiliated attack may still large police chief brown find prosecuted bring justice potential additional suspects large dallas 8 cops ambushed murdered executionsstyle shot pointblack range reportedby daily wire friday morning horrific video surfaced showing cop gunned behind pointblank range warning video contains graphic content graphic video appears suspect shooting police dallaspoliceshooting breaking pictwittercomyicbr92o02 cops reportedly ambushed murdered executionstyle 9 one murdered officers identified deceased dart officer officially identified officer brent thompson age 43 joined dart 2009 first dart officer killed line duty according dart reports vox 10 early media outlets named man suspect cleared wrong according washington,3,1,[0.01382521 0.5935191  0.01782001 0.3318328  0.04300281]
recently wrote networking strategies help advance career opens new window got wondering typical career looks like days careers affected great recession people able stay job retire love job market chaotic say either way instance certain features someones resume might identify baby boomer gen x millennial could even pose advantage disadvantage continue reading lifetime careers pensions gone way dodo people often fall prey rosy retrospection bias fallacy tendency remember past better actually parents grandparents generation would likely said differently time ask folks today past decades would tell stable time wasnt hard stay one employer majority careers retire fat pension whether actually peoples lived experience generally acknowledged retirement outlook 20somethings opens new window today quite different expected individuals hold numerous jobs throughout lifetimes fact people may different jobs different careers course working years note im defining job particular position particular company career job series jobs industry jobtype using definition someone went bank teller similar position another bank would staying one career path someone went bank teller real estate agent would switching jobs careers bank teller promoted position supervised tellers particular branch would also switching careers even remained company imprecise absence rigid definitions best advertisement 50 years gold watch arent standard anymore replaced try understand turned bureau labor statistics bls according website bureau labor statistics us department labor principal federal agency responsible measuring labor market activity working conditions price changes economy tenure trending comes number jobs held throughout working lifetime data fuzzy bls admits determine number jobs lifetime one would need data longitudinal survey tracks respondents entire working lives far longitudinal survey ever tracked respondents long however assembled data baby boomers according study younger baby boomers held average 113 jobs ages 18 46 means 28year period group switched jobs average every two half years bls estimates tenure length time worker stays one employer trending past decade attribute trend aging workforce tenure tends increase age younger employees switch jobs frequently older employees obviously tenure also tends vary industry think us would argue great recession led longer tenure people lucky enough get keep jobs economy tanked seem little gunshy may reluctant leave current positions changing careers grass isnt always greener opens new window however im wondering message tenure length sends potential future employers tenure length resume boost count number ways view someones tenure length whether longer shorter average example someone long tenure length say five years potential employer might assume following individual hand following assumptions could made someone short tenure length say two years less pros cons associate tenure length longer shorter average industries think might shorter longer average tenure importantly take knowledge consideration comes playing office politics game opens new window making decisions impact career ability gain employment strategizing tenure length one hand using tenure length sole barometer deciding whether get new job silly however depending industry may important factor consider longer stay job harder may successfully ask raise opens new window job description isnt changing demonstrate value provide company increasing employers provide cost living adjustments cola even effect compensation intended adjust salary inflation merit increase may able negotiate perks raise table opens new window even,4,1,[0.01597582 0.66248155 0.00729896 0.00858328 0.30566046]
always good idea track leading investors quarterly basis investors cisco systems nasdaq cscolikely wont pleased hear two hedge funds founded billionaire investors moore capital management tudor investment corp reduced positions last quarter continue reading dont believe blindly following billionaires moves give investors cause toconsider whetherthe stock worth continuing hold lets take closer look buy sell cases cisco systems stock cisco systems keeps corporations connected image source getty images history littered former stock market darlings disappointed investors key causes usually fundamental decline companys core end market cisco best known hardware switches routers provide backbone business communication products responsible around 45 fiscal 2016 sales facing two existential threats advertisement first increasing use network virtualization could result reduced sales ciscos switches routers corporation managing network using software cloud less likely need ciscos expensive switches second network virtualization leads usage less sophisticated routers switches ciscos market position could come threat competitors like chinas huawei zte particularly emerging markets indeed quick look ciscos switching routing revenue growth shows stagnation switching routing sales recent years data source cisco systems presentation chart source author told bearish case highlights risk longterm decline ciscos core end markets given ciscos patchy record making acquisitions noncore areas previous ceo john chambers hardly covered glory acquisitions scientificatlanta pure digital technologies tandberg doubts exist whether company successfully use cash reposition future growth investing isntonly buyinga wellruncompany also buying company right price whether well run line reasoning cisco attractive stock three key arguments buying stock first see company remains prodigious generator free cash flow moreover price pay stock measured enterprise value market cap plus net debt 967 times free cash flow looks cheap csco free cash flow ttm data ycharts opens new window put context cisco currently generating around 103 enterprise value free cash flow theoretically could use annual cash make acquisitions buy future growth second even growth switching routing stagnates cisco still generating overall revenue growth csco operating revenue annual yoy growth data ycharts analysts company growing revenue 11 current fiscal year 29 forecast next year words ciscos revenue growth expected keep track inflation free cash flow generation remains significant moreover ciscos stock comes current dividend yield 33 bad compared current us 10year treasury yield 16 third company undergoing transition toward software serviceoriented business recent analysis ciscos earnings opens new window shows reported revenue growth entirely demonstrative companys growth moving toward software subscription business model usually entails shifting upfront product revenue toward longerterm recurring revenue data source cisco systems presentation chart source author meanwhile management announced plans cut costs downsizing workforce response low growth core businesses emphasis shifts toward investing ciscosfastergrowth noncore businesses ciscos switching routing growth looks challenged far doesnt look anything like precipitous structural decline suffered say hpsprinter business corporations still need communications networks need replace existing networks meanwhile cisco cash reserves current cash flow buy way growth chambers track record acquisitions may uninspiring current ceo chuck robbins given benefit doubt told think ciscos cash generation dividend make worthy position diversified portfolio valueoriented investors keep eye switching routing businesses secret billiondollar stock opportunity worlds biggest tech company forgot show something wall street analysts,4,1,[0.00196771 0.9830551  0.00220646 0.00306628 0.00970442]
facebook powers types ads image source facebook continue reading little two years ago facebook nasdaq fb launched facebook audience network fan ad network extended facebook ads apps providing app developers new way monetize apps 3 million advertisers working facebook fan offers developers opportunity tap huge pipeline ads fan competes directly googles admob boon alphabet nasdaq goog nasdaq googl company revenue comes mobile recent expansion fan mobile websites also compete googles adsense ads thirdparty publishers websites multibilliondollar products google facebook investors shouldnt expect billions come pouring fan even reaching 1 billion run rate fourth quarter last year facebooks audience network add hundred million companys top line heres advertisement facebook cfo dave wehner told investors companys secondquarter earnings call company accounting revenue fan net basis instead gross basis wont account portion ad revenue goes publisher method stands contrast google uses gross revenue tells investors exactly traffic acquisition costs example last quarter googles ad network generated 37 billion gross ad revenue network members kept 70 26 billion 37 billion counts toward googles revenue 26 billion counts toward operating expenses facebooks accounting using 37 billion figure would registered 11 billion net revenue investors never see portion revenue facebooks earnings report unless company specifically discloses numbers reason google providing bit transparency alphabet investors disclosing exactly percentage network revenue keeps pays publishers google generally upfront terms adsense admob participants percentage revenue shares hurting anything disclosing details quarterly reports facebook bit opaque comes revenue share fan faq facebook simply says commit specific revenue share point reported traffic acquisition costs developers publishers would good idea whether theyre high low end facebooks revenue share terms could negative consequences facebook comes difference revenue reporting wont affect facebooks bottom line fact investors may prefer way facebook reports way google reports revenue highly unlikely facebook break network revenue like google reporting network revenue net basis much smaller impact facebooks operating margin reported gross revenue lumped publishers revenue share cost revenue way investors see continued increase revenue dont worry whether revenue coming fan owned operated properties twitter nyse twtr saw cost revenue balloon last year revenue started coming ad network forty percent increase twitters cost revenue 2015 attributed increased traffic acquisition costs overall cost revenue grew 33 total revenue compared 32 prior year going forward traffic acquisition costs may bigger impact twitters margins opens new window starts account larger percentage revenue growth facebook investors wont worry kind margin dilution way company choosing report ad network revenue doesnt provide transparency google even twitter investors dont worry minimal impact product companys top line yet another conservative accounting maneuver facebook follows companys decision start reporting results gaap unadjusted basis opens new window peers continue use nongaap measurements conservative moves show confidence companys ability continue growing revenue earnings strong clip foreseeable future need juice numbers revenue never really sees first place secret billiondollar stock opportunity worlds biggest tech company forgot show something wall street analysts fool didnt miss beat theres small company thats powering brandnew gadgets coming revolution technology think stock price nearly unlimited room run early intheknow investors one click opens new window suzanne frey executive alphabet member,3,1,[0.00148183 0.9826565  0.00130163 0.00158395 0.01297611]
shares atampt nyse recently hit 16year high rally raised concerns market optimistic slow growth stock bears note thatatampts sluggish growth postpaid wireless customers return unlimited data plans opens new window elevated debt levels uncertainties regarding proposed buyout opens new window time warner nyse twxcould make stock risky bet continue reading investors certainly take note headwinds believe atampt remains solid longterm play investors four simple reasons atampts flagship store san francisco image source atampt many investors including atampt dividend company raised dividend annually three decades making elite dividend aristocrat hiked payout annually 25 years atampts 46 dividend makes highest paying income stock inthat elite group verizons nyse vz 47 yield slightly higher raised dividend annually ten straight years advertisement atampt payout ratio 92 meaning spent percentage earnings dividends past 12 months atampts dividend remain rock solid long percentage remains 100 even ratio briefly rises 100 atampt likely fund dividends pockets retain aristocrat title past years many blue chip dividend stocks climbed historical highs valuations rose meaning yields dropped historical lows analysts attributed shift low interest rates making bonds look less attractive dividend stocks interest rates rise investors may sell overvalued dividend stocks exchange fixed income security bonds might worried atampt traded historically high multiples thats case pe 20 remains much lower industry average 25 well mid30s reached late 2015 analysts expect atampt grow annual earnings average rate 8 next five years giving 5year peg ratio 18 isnt ratio 1 would considered cheap much lower verizons peg ratio 66 calculated estimated 5year annual growth rate 2 investors assume atampts wireless business refers smartphone market slowing due competition saturation north american market business still growing atampt added 95 million wireless customers 62 million us 33 million mexico infiscal 2016 boosted north american mobile customer base 147 million reduce dependence smartphones atampt expanded wireless ecosystem include connected wearables drones internet things gadgets connected cars connected car market remains major growth market atampt last january announced would connect upto 10 million ford vehicles north america 2020 month later tested theworlds first lteconnected drones intel atampt adding devices multidevice plans could increase revenue per customer widening competitive moat intel atampts test drone lte networks image source intel lastly atampts proposed acquisition time warner likely approved thefcc trump administration reportedly pushed block deal isnt overseeing regulatory review thats atampt time warner structured deal way avoids transfer fcc licenses meanwhile republicanled ftc recently ruled thatatampt verizons zerorated opens new window sponsored videos dont count toward data caps didnt violate net neutrality indicating regulators could retain soft stance toward megamerger atampt may need make concessions clear regulatory hurdles acquisition could enable atampt build zerorated video ecosystem greatly strengthened time warners media portfolio top wireless networks atampt links ecosystem directv control content pipes way could tough rivals like opens new window netflix opens new window verizon counter atampt currently biggest stock holding accounts nearly 7 portfolio im confident telcos longterm prospects company certainly faces nearterm headwinds believe dividend valuations expansion ecosystem still make solid play conservative income investors 10 stocks like better twhen investing geniuses david tom gardner stock tip pay listen,4,1,[1.0522075e-03 9.9222457e-01 1.2636881e-03 8.8570837e-04 4.5736856e-03]
